scene,method,support_cells,total_error_percent,total_within_5pct,own_signed_error_percent,own_spatial_error_percent,common_signed_error_percent,common_spatial_error_percent,missing_truth_volume_m3,merge_conflicts,elapsed_ms_single_run
pyramid_center,r005_per_view_grid_median,196,,,8.633217380478825,20.69784560004314,8.633217380478825,20.69784560004314,0.0,,5.5012000084389
pyramid_center,d003_pooled_xyz_delaunay,196,,,0.8900083063772953,7.378526184301669,0.8900083063772953,7.378526184301669,0.0,0,22.886699996888638
pyramid_shifted_013,r005_per_view_grid_median,196,,,1.5702035738430011,21.461068033307203,1.5702035738430011,21.461068033307203,0.0,,5.405700008850545
pyramid_shifted_013,d003_pooled_xyz_delaunay,196,,,-4.820974538388158,8.33667764359415,-4.820974538388158,8.33667764359415,0.0,0,6.103499996243045
two_stacks,r005_per_view_grid_median,196,,,-7.274909448822611,28.92401229658844,-7.274909448822611,28.92401229658844,3.0812500000000067e-06,,5.628600003547035
two_stacks,d003_pooled_xyz_delaunay,196,,,-4.0379882001802425,9.471217825818842,-4.0379882001802425,9.471217825818842,3.0812500000000067e-06,0,5.328900006134063
prism,r005_per_view_grid_median,196,,,43.85116538968064,44.164744859234524,43.85116538968064,44.164744859234524,0.0,,4.695099996752106
prism,d003_pooled_xyz_delaunay,196,,,45.71291956963722,45.80108797757988,45.71291956963722,45.80108797757988,0.0,0,5.7182999880751595
ramp,r005_per_view_grid_median,196,,,40.20738509781848,45.21364332071892,40.20738509781848,45.21364332071892,0.0,,5.077900001197122
ramp,d003_pooled_xyz_delaunay,196,,,40.331066815238714,40.71613982267655,40.331066815238714,40.71613982267655,0.0,0,5.331700012902729
layer,r005_per_view_grid_median,324,,,0.21376587516472614,0.2400560422541406,0.21376587516472614,0.2400560422541406,0.0012824999999999998,,7.048800005577505
layer,d003_pooled_xyz_delaunay,324,,,0.18057823970278133,0.2302566884694926,0.18057823970278133,0.2302566884694926,0.0012824999999999998,0,7.344900004682131
pyramid_beam,r005_per_view_grid_median,172,,,7.791239840644641,20.076211314007082,7.791239840644641,20.076211314007082,5.849999999999988e-05,,4.603099994710647
pyramid_beam,d003_pooled_xyz_delaunay,196,,,-0.48879394122327663,10.15168640876556,-0.3019622782620962,10.720836420677786,0.0,0,5.147999996552244
layer_beam,r005_per_view_grid_median,288,,,0.2149100087595267,0.2435472338669345,0.2149100087595267,0.2435472338669345,0.0018899999999999976,,7.680800001253374
layer_beam,d003_pooled_xyz_delaunay,324,,,0.19394553397016728,0.23756834906597585,0.19028877224915192,0.23530700236084534,0.0012824999999999998,0,6.41390000237152
pyramid_beam_dropout20,r005_per_view_grid_median,151,,,3.6271417711006344,19.172420774498935,3.6271417711006344,19.172420774498935,6.524999999999989e-05,,3.003799996804446
pyramid_beam_dropout20,d003_pooled_xyz_delaunay,196,,,-1.0524882558522264,12.046523694350645,-1.543042150171522,12.373950798119852,0.0,0,4.3852000089827925
