scene,method,support_cells,common_cells,common_signed_error_percent,common_spatial_error_percent,own_error_density_ratio,common_error_density_ratio,total_error_percent,total_within_5pct,trimmed_cells
pyramid_center,fixed3_median,400,400,17.499366355312972,28.686284516096865,14.043403853441946,14.043403853441946,17.499366355312972,False,0
pyramid_center,aimed_median,400,400,15.646402333757498,28.91705633732099,13.158384619829155,13.158384619829155,15.646402333757498,False,0
pyramid_center,aimed_lower,400,400,15.476046961580023,28.746700965143518,13.694002352678769,13.694002352678769,15.476046961580023,False,0
pyramid_center,aimed_median_trim2,400,400,15.646402333757498,28.91705633732099,13.158384619829155,13.158384619829155,15.646402333757498,False,0
pyramid_center,aimed_lower_trim2,400,400,15.476046961580023,28.746700965143518,13.694002352678769,13.694002352678769,15.476046961580023,False,0
pyramid_shifted_013,fixed3_median,400,400,1.856554932196601,23.923227061742807,14.879967471724711,14.879967471724711,1.856554932196601,True,0
pyramid_shifted_013,aimed_median,400,400,2.3237344316771362,23.981310157949974,13.756771803156408,13.756771803156408,2.3237344316771362,True,0
pyramid_shifted_013,aimed_lower,400,400,2.1533790594996605,23.810954785772502,14.465360612119142,14.465360612119142,2.1533790594996605,True,0
pyramid_shifted_013,aimed_median_trim2,400,400,2.3237344316771362,23.981310157949974,13.756771803156408,13.756771803156408,2.3237344316771362,True,0
pyramid_shifted_013,aimed_lower_trim2,400,400,2.1533790594996605,23.810954785772502,14.465360612119142,14.465360612119142,2.1533790594996605,True,0
two_stacks,fixed3_median,400,400,2.530442168225632,43.95689279617401,25.54700863478006,25.54700863478006,2.530442168225632,True,0
two_stacks,aimed_median,400,400,1.6864386171430312,43.92020097373386,26.708798336849537,26.708798336849537,1.6864386171430312,True,0
two_stacks,aimed_lower,400,400,0.9370386650190585,43.17253854146313,31.328981785701618,31.328981785701618,0.9370386650190585,True,0
two_stacks,aimed_median_trim2,400,400,1.6864386171430312,43.92020097373386,26.708798336849537,26.708798336849537,1.6864386171430312,True,0
two_stacks,aimed_lower_trim2,400,400,0.9370386650190585,43.17253854146313,31.328981785701618,31.328981785701618,0.9370386650190585,True,0
prism,fixed3_median,336,336,4.075523656500889,25.643082313531945,31.43854768973147,31.43854768973147,,,0
prism,aimed_median,380,336,5.775862170333275,24.941439036200613,23.476490602827088,32.343782378729614,,,0
prism,aimed_lower,380,336,3.838084490505395,25.459258874861973,23.7317011641475,32.86178840248349,,,0
prism,aimed_median_trim2,380,336,5.945137736555239,24.772163469978636,24.169439108536615,33.810223076386116,,,8
prism,aimed_lower_trim2,380,336,4.176635622949322,25.12070774241804,25.16806664671815,35.958896797851686,,,8
ramp,fixed3_median,400,400,10.807518589827298,34.006292381617435,21.582956194719817,21.582956194719817,10.807518589827298,False,0
ramp,aimed_median,400,400,10.908520366589745,34.09980827761914,21.392088882925197,21.392088882925197,10.908520366589745,False,0
ramp,aimed_lower,400,400,10.594373031370276,33.82401477579579,22.213952292380462,22.213952292380462,10.594373031370276,False,0
ramp,aimed_median_trim2,400,400,10.908520366589745,34.09980827761914,21.392088882925197,21.392088882925197,10.908520366589745,False,0
ramp,aimed_lower_trim2,400,400,10.594373031370276,33.82401477579579,22.213952292380462,22.213952292380462,10.594373031370276,False,0
layer,fixed3_median,256,256,0.19735162257012762,0.2448064945335986,,,,,0
layer,aimed_median,256,256,0.04962499450885575,0.12707468168837563,,,,,0
layer,aimed_lower,256,256,0.04962499450885575,0.12707468168837563,,,,,0
layer,aimed_median_trim2,256,256,0.04962499450885575,0.12707468168837563,,,,,0
layer,aimed_lower_trim2,256,256,0.04962499450885575,0.12707468168837563,,,,,0
pyramid_beam,fixed3_median,280,280,14.326475990125962,25.11003160393191,18.58601442203916,18.58601442203916,,,0
pyramid_beam,aimed_median,384,280,12.43671927948138,25.870704071959196,11.598322319286389,16.632482008657043,,,0
pyramid_beam,aimed_lower,384,280,11.413668534167618,26.245631306251845,11.75171751821161,17.021842089994976,,,0
pyramid_beam,aimed_median_trim2,384,280,12.43671927948138,25.870704071959196,11.598322319286389,16.632482008657043,,,0
pyramid_beam,aimed_lower_trim2,384,280,11.413668534167618,26.245631306251845,11.75171751821161,17.021842089994976,,,0
layer_beam,fixed3_median,176,176,0.18588580205044658,0.2353865954733632,,,,,0
layer_beam,aimed_median,240,176,0.057861270617645136,0.13380511003582735,,,,,0
layer_beam,aimed_lower,240,176,0.010040585797463867,0.14562840961852974,,,,,0
layer_beam,aimed_median_trim2,240,176,0.057861270617645136,0.13380511003582735,,,,,0
layer_beam,aimed_lower_trim2,240,176,0.010040585797463867,0.14562840961852974,,,,,0
pyramid_beam_dropout20,fixed3_median,240,183,20.580909335019886,29.48838505887783,16.899497677056594,12.139816796957682,,,0
pyramid_beam_dropout20,aimed_median,199,183,19.044494470803023,28.619314921763362,11.127990464667604,11.0356293526795,,,0
pyramid_beam_dropout20,aimed_lower,199,183,17.836306942653064,27.846027413343062,12.251083839159662,12.241581245983978,,,0
pyramid_beam_dropout20,aimed_median_trim2,199,183,19.044494470803023,28.619314921763362,11.127990464667604,11.0356293526795,,,0
pyramid_beam_dropout20,aimed_lower_trim2,199,183,17.836306942653064,27.846027413343062,12.251083839159662,12.241581245983978,,,0
